Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"USMANU DANFODIYO UNIVERSITY, SOKOTO, SOKOTO STATE",UDU,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.?","Mathematics, Economics plus any Social Science subject."
ADULT EDUCATION,"USMANU DANFODIYO UNIVERSITY, SOKOTO, SOKOTO STATE",UDU,"(i)    Two (2) 'A' Level   passes.

(ii)           NCE merit in two (2) subjects.","Five (5) 'O' Level credit passes including English Language, Mathematics and three (3) of Literature in English, History, French, Yoruba, Igbo, Hausa, Christian Religious Studies, Islamic Studies, Geography/Physic, Economics and Government or TC II with pass in English Language and four (4) other subjects.","Government/History, one (1) Social Science subject and any other subject."
AGRICULTURAL SCIENCE & EDUCATION,"USMANU DANFODIYO UNIVERSITY, SOKOTO, SOKOTO STATE",UDU,"(i) Two (2) passes at 'A' Level in Biology /Zoology /Botany and any other Science subject.

(ii) NCE merit in Biology and any other Science subject.

(iii) NCE merit in Agriculture (Double Major).","Five (5) 'O' Level credit passes or equivalents in English Language, Chemistry, Biology/Agricultural Science., Mathematics and another relevant subject.","Any three (3) subjects from Chemistry, Biology, Agriculture, Physics, Economics, Geography and Mathematics."
AGRICULTURE,"USMANU DANFODIYO UNIVERSITY, SOKOTO, SOKOTO STATE",UDU,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
APPLIED CHEMISTRY,"USMANU DANFODIYO UNIVERSITY, SOKOTO, SOKOTO STATE",UDU,"(i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
ARABIC STUDIES,"USMANU DANFODIYO UNIVERSITY, SOKOTO, SOKOTO STATE",UDU,Two (2) ‘A’ Level passes in Arabic and any other Arts subject.,"Five (5) SSC credit passes in English Language, Arabic and three (3) other relevant subjects.",Arabic and two (2) subjects from Arts and/or Social Sciences.
BANKING & FINANCE,"USMANU DANFODIYO UNIVERSITY, SOKOTO, SOKOTO STATE",UDU,"Two (2) 'A' Level passes chosen from Accounting, Economics, Management, Mathematics, Geography and Statistics.","Five (5) SSC credit passes to include: English Language, Mathematics and any other subjects. For NBC, the other two (2) relevant subjects could be from any of the following; Accounting, Principles of Accounts, Commerce, Office Practice and Economics.","Mathematics, Economics, plus any one (1) of Government and Geography."
BIOCHEMISTRY,"USMANU DANFODIYO UNIVERSITY, SOKOTO, SOKOTO STATE",UDU,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGY,"USMANU DANFODIYO UNIVERSITY, SOKOTO, SOKOTO STATE",UDU,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BOTANY,"USMANU DANFODIYO UNIVERSITY, SOKOTO, SOKOTO STATE",UDU,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BUSINESS ADMINISTRATION,"USMANU DANFODIYO UNIVERSITY, SOKOTO, SOKOTO STATE",UDU,"Two (2) ‘A’ Level passes chosen from Economics, Accounts, Business Management, Government, Geography or Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics, plus any two (2) of Accounting, Business Methods, Commerce, Government, Geography, and Statistics.","Mathematics, Economics and one (1) other subject."
CIVIL ENGINEERING,"USMANU DANFODIYO UNIVERSITY, SOKOTO, SOKOTO STATE",UDU,(i) 'A' Level passes in Physics and Mathematics. (ii) ND/HND upper credit at appropriate levels.,"Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and one Science subject","Physics, Chemistry and Mathematics"
COMMON & ISLAMIC LAW,"USMANU DANFODIYO UNIVERSITY, SOKOTO, SOKOTO STATE",UDU,Two (2)A’ level passes to include Islamic Studies or Arabic,Five (5)'O' Level credit passes in Arts or Social Sciences to include English Language and Islamic Studies or Arabic.,Any three (3) Arts or Social Science subjects including Arabic or Islamic Studies
