Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"MEWAR UNIVERSITY NIGERIA, MASAKA, NASARAWA STATE",MEWAR,[Not Available],"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
BANKING & FINANCE,"MEWAR UNIVERSITY NIGERIA, MASAKA, NASARAWA STATE",MEWAR,"(i) Two (2)'A' Level passes in Accounting or Economics and one other subject.  

(ii) NCE merit in relevant subjects.  

(iii) ND credit.  

(iv) Foundation International exam such as ICAN, ACCA, ICMA, GPFA.","Five (5)SSC credit passes including  English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, one Social Science subject and any other subject"
BANKING AND FINANCE,"MEWAR UNIVERSITY NIGERIA, MASAKA, NASARAWA STATE",MEWAR,"(i) Two (2)'A' Level passes in Accounting or Economics and one other subject.  

(ii) NCE merit in relevant subjects.  

(iii) ND credit.  

(iv) Foundation International exam such as ICAN, ACCA, ICMA, GPFA.","Five (5)SSC credit passes including  English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, one Social Science subject and any other subject"
BIOTECHNOLOGY,"MEWAR UNIVERSITY NIGERIA, MASAKA, NASARAWA STATE",MEWAR,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
COMPUTER SCIENCE,"MEWAR UNIVERSITY NIGERIA, MASAKA, NASARAWA STATE",MEWAR,"(i)       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CYBER SECURITY,"MEWAR UNIVERSITY NIGERIA, MASAKA, NASARAWA STATE",MEWAR,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics  

(ii)    NCE merit in Mathematics and one (1) other Science or Social Science subject","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography"
ECONOMICS,"MEWAR UNIVERSITY NIGERIA, MASAKA, NASARAWA STATE",MEWAR,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
ENTREPRENEURSHIP,"MEWAR UNIVERSITY NIGERIA, MASAKA, NASARAWA STATE",MEWAR,"Two (2) 'A' Level passes to include Economics and at least one of, Accounts, Business Management, Government, Geography or Mathematics.","Five (5) SSC credit passes to include English Language, Mathematics, Economics, one Science subject and one other Social Science or Commercial subject.","Economics, Mathematics and one other Social Science or Commercial subject."
INDUSTRIAL CHEMISTRY,"MEWAR UNIVERSITY NIGERIA, MASAKA, NASARAWA STATE",MEWAR,"(i)    Two (2) 'A' Level passes in Chemistry and Mathematics

(ii)   ND in Science Technology or ND in relevant programmes with the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Physics and Biology/Agricultural Science.","Chemistry, Mathematics and any of Physics/Biology/ Agricultural Science."
LAW,"MEWAR UNIVERSITY NIGERIA, MASAKA, NASARAWA STATE",MEWAR,"(i)   Two (2)'A' Level passes in Arts or Social Science subjects.  

(ii)   NCE/ND/First Degree (Second Class Lower).","Five (5)'O' Level credit passes to include English Language, Literature in English and Mathematics.",Any three (3) Arts or Social Science subjects.
PHYSICS WITH ELECTRONICS,"MEWAR UNIVERSITY NIGERIA, MASAKA, NASARAWA STATE",MEWAR,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
PUBLIC ADMINISTRATION,"MEWAR UNIVERSITY NIGERIA, MASAKA, NASARAWA STATE",MEWAR,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
SOFTWARE ENGINEERING,"MEWAR UNIVERSITY NIGERIA, MASAKA, NASARAWA STATE",MEWAR,'A' Level passes ND/NCE at Credit/merit levels and HND lower credit in relevant programmes into 200 and 300 levels.,"Five (5) SSC credit passes in Mathematics, English Language and three (3) other Science subjects.","Maths, Economics and any one of Chemistry, Physics, Biology or Geography."
