Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",PAUL,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
BANKING & FINANCE,"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",PAUL,"Two (2) 'A' Level passes chosen from Accounting, Economics, Management, Mathematics, Geography and Statistics.","Five (5) SSC credit passes to include: English Language, Mathematics and any other subjects. For NBC, the other two (2) relevant subjects could be from any of the following; Accounting, Principles of Accounts, Commerce, Office Practice and Economics.","Mathematics, Economics, plus any one (1) of Government and Geography."
BIOCHEMISTRY,"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",PAUL,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BOTANY,"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",PAUL,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BUSINESS ADMINISTRATION,"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",PAUL,"Two (2) ‘A’ Level passes chosen from Economics, Accounts, Business Management, Government, Geography or Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics, plus any two (2) of Accounting, Business Methods, Commerce, Government, Geography, and Statistics.","Mathematics, Economics and one (1) other subject."
CHEMISTRY,"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",PAUL,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
COMPUTER SCIENCE,"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",PAUL,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ECONOMICS,"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",PAUL,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
EDUCATION AND INTEGRATED SCIENCE,"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",PAUL,[Not Available],[Not Available],[Not Available]
ENGLISH AND LITERARY STUDIES,"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",PAUL,[Not Available],[Not Available],[Not Available]
ENGLISH LANGUAGE,"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",PAUL,Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.,"Five (5) SSC credit passes to include Literature in English, English Language and three other Arts or Social Science subjects.","Literature in English, one other Arts subject and another Arts or Social Science subject."
HEALTH INFORMATION MANAGEMENT,"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",PAUL,[Not Available],[Not Available],[Not Available]
HISTORY & INTERNATIONAL RELATION,"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",PAUL,Two (2) 'A' Level passes/NCE (upper credit) in History/ Government and any other related subject,"Five (5) SSC credit passes to include English Language, Geography, Government/History.",History/Government and any other two (2) subjects from the Arts and Social Sciences.
LAW,"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",PAUL,[Not Available],[Not Available],[Not Available]
LIBRARY & INFORMATION SCIENCE,"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",PAUL,"(i)       ND/HND in relevant programmes.

 

(ii)     Degree/HND not relevant to the programme.","Five (5) SSC credit passes including English Language, Mathematics and Economics.","Mathematics, Economics and any other subject."
LITERATURE IN ENGLISH,"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",PAUL,Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.,Five (5) SSC credit passes to include Literature in English and English Language.,"Literature in English, one other Arts subject and another Arts or Social Science subject."
MANAGEMENT & ENTREPRENEURSHIP,"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",PAUL,"Two (2) 'A' Level passes to include Economics and at least one of, Accounts, Business Management, Government, Geography or Mathematics.","Five (5) SSC credit passes to include English Language, Mathematics, Economics, one Science subject and one other Social Science or Commercial subject.","Economics, Mathematics and one other Social Science or Commercial subject."
MASS COMMUNICATION,"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",PAUL,Two (2) 'A' Level passes in Arts or Social Science subjects.,Five (5) SSC credit passes in English Language and four (4) other subjects in Arts or Social Sciences.,Any three (3) from Arts or Social Science subjects.
MATHEMATICS,"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",PAUL,") Two (2) 'A' Level passes in Mathematics and any other science subject.

(ii)           NCE merit in Mathematics and one (1) of Physics, Chemistry or Economics","Five (5) SSC credit passes including English Language, Mathematics and Physics or Chemistry.","Mathematics and any two (2) of Physics, Chemistry and Economics or Geography."
MICROBIOLOGY,"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",PAUL,"Two (2) 'A' Level passes in Chemistry and any one (1) from Biology, Zoology or Botany.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics.","Biology, Chemistry and either Physics or Mathematics."
PHYSICS,"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",PAUL,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
POLITICAL SCIENCE,"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",PAUL,Two (2) 'A' Level passes including Government or History.,"Five (5) SSC credit passes in Government or History, English Language and three (3) other subjects.  A pass in Mathematics is required.",Government or History plus two (2) other Social Science/Arts subjects.
PSYCHOLOGY,"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",PAUL,[Not Available],[Not Available],[Not Available]
PUBLIC ADMINISTRATION,"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",PAUL,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government, Geography and Statistics.","Five (5) SSC credit passes to include English Language,              

Economics and Government. For NBC holders, the                             other relevant                             subjects could be                             from any of the                             following:  Accounting, Principles of Accounts,                             Commerce, Office           Practice and Secretarial   Duties.","Government, Economics and any other subject."
PURE & APPLIED MATHEMATICS,"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",PAUL,"i) Two (2) 'A' Level passes in Mathematics and any other Science subject.

 

(ii) NCE merit/HND /ND upper credit  in Mathematics.","Five (5) SSC credit passes including English Language, Physics, Mathematics, Chemistry and Biology/Agricultural Science or  Geography.","Mathematics, Physics and Biology or Agricultural Science or Chemistry or Geography."
PURE & INDUSTRIAL CHEMISTRY,"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",PAUL,"i)      Two (2) 'A' Level passes in Chemistry and Mathematics

(ii)   ND in Science Technology or ND in relevant programmes with the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Physics and Biology/Agricultural Science.","Chemistry, Mathematics and any of Physics/Biology/ Agricultural Science."
PURE PHYSICS,"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",PAUL,Two (2) 'A' Level passes in Physics and Mathematics.,As for Physics,As for Physics
RELIGIOUS STUDIES,"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",PAUL,Two (2) ‘A’ Level subjects to include Religious Studies (CRS/IRS).,Five (5) SSC credit passes to include English Language and CRS/IRS.,CRS/IRS and any other two (2) subjects.
SOCIOLOGY,"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",PAUL,Two (2) 'A' Level passes including Government or History.,"Five (5) SSC credit passes in Government or History, English Language and three (3) other subjects.  A pass in Mathematics is required.",Three (3) Social Science or Arts subjects.
THEATRE ARTS,"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",PAUL,[Not Available],[Not Available],[Not Available]
ZOOLOGY,"PAUL UNIVERSITY, AWKA, ANAMBRA STATE",PAUL,"Two (2) 'A' Level passes or NCE in Biology, Zoology or Botany and one other Science subject","Five (5) SSC credit passes in English Language, Mathematics, Biology and two (2) other Science subject.","Biology and any two (2) of Physics, Chemistry and Mathematics."
