Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
EDUCATION & ARABIC,"SHEHU SHAGARI COLLEGE OF EDUCATION, SOKOTO STATE (AFFL TO UDU, SOKOTO)",SHAGARI-2,Two (2) 'A' Level passes or NCE in relevant subjects including Arabic.,Five (5) 'O' Level credit passes in relevant subjects including English Language and Arabic.,Arabic and any two (2) relevant Arts/Social Science subjects.
EDUCATION & BIOLOGY,"SHEHU SHAGARI COLLEGE OF EDUCATION, SOKOTO STATE (AFFL TO UDU, SOKOTO)",SHAGARI-2,NCE/'A' Level passes in Biology and one (1) other Science subject.,"Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and one (1) other subject.","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
EDUCATION & CHEMISTRY,"SHEHU SHAGARI COLLEGE OF EDUCATION, SOKOTO STATE (AFFL TO UDU, SOKOTO)",SHAGARI-2,Two (2) ‘A’ Level/NCE passes including Chemistry and one (1) other Science subject.,"Five (5) SSC credits in Mathematics, Chemistry, English Language and two (2) of Physics, Biology and Agricultural Science.","Chemistry and two (2) other subjects chosen from Physics, Biology and Mathematics."
EDUCATION & ECONOMICS,"SHEHU SHAGARI COLLEGE OF EDUCATION, SOKOTO STATE (AFFL TO UDU, SOKOTO)",SHAGARI-2,"(i) Two (2) 'A' Level passes in Economics and one (1) other relevant subject.

(ii) NCE merit/credit in Economics and one (1) other subject.","Five (5) 'O' Level credit passes to include English Language, Economics and Mathematics.","Economics, Mathematics and one (1) other subject from Geography/Physics, History, Government and Literature in English."
EDUCATION & ENGLISH LANGUAGE,"SHEHU SHAGARI COLLEGE OF EDUCATION, SOKOTO STATE (AFFL TO UDU, SOKOTO)",SHAGARI-2,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
EDUCATION & GEOGRAPHY,"SHEHU SHAGARI COLLEGE OF EDUCATION, SOKOTO STATE (AFFL TO UDU, SOKOTO)",SHAGARI-2,"Two (2) 'A' Level passes/NCE merit which should include Geography

/Physics.","Five (5) SSC credit passes to include Geography, English Language and Mathematics.",Geography plus two (2) other Social Sciences/Arts subjects.
EDUCATION & HAUSA,"SHEHU SHAGARI COLLEGE OF EDUCATION, SOKOTO STATE (AFFL TO UDU, SOKOTO)",SHAGARI-2,Two (2) 'A' Level passes in relevant subjects to include Hausa.,Five (5) 'O' Level credit passes to include English Language and Hausa.,"Hausa, one (1) Arts and one (1) subject from Economics, French, Geography/Physics, Government, History, Islamic Studies, Literature in English and Mathematics."
EDUCATION & HISTORY,"SHEHU SHAGARI COLLEGE OF EDUCATION, SOKOTO STATE (AFFL TO UDU, SOKOTO)",SHAGARI-2,Two (2) NCE merit/'A' Level passes in History and one (1) other relevant Arts subject.,"Five (5) SSC credit passes in English Language, History and three (3) relevant Arts subjects.","History and any other two (2) subjects chosen from Christian Religious Studies / Islamic Studies, Literature in English, French, Yoruba, Geography/Physics, Economics, Government and Hausa."
EDUCATION & ISLAMIC STUDIES,"SHEHU SHAGARI COLLEGE OF EDUCATION, SOKOTO STATE (AFFL TO UDU, SOKOTO)",SHAGARI-2,"(i) NCE merit in Islamic Studies and Education.

 

(ii) 'A' Level passes in Arabic/ Islamic Studies and any other relevant subject.","Five (5) SSC credit passes including English Language, Islamic Studies and three (3) other relevant subjects.",Islamic Studies/Arabic and two (2) other Social Science or Arts subjects.
EDUCATION & MATHEMATICS,"SHEHU SHAGARI COLLEGE OF EDUCATION, SOKOTO STATE (AFFL TO UDU, SOKOTO)",SHAGARI-2,Two (2)'A' Level passes/NCE in Mathematics and one (1) Science subject.,"Five (5) SSC credit passes to include English Language, Mathematics plus one (1) other Science subject.","Mathematics and any two (2) of the following Science subjects: Physics, Chemistry and Biology."
PRIMARY EDUCATION STUDIES,"SHEHU SHAGARI COLLEGE OF EDUCATION, SOKOTO STATE (AFFL TO UDU, SOKOTO)",SHAGARI-2,Two (2) 'A' Level passes chosen from relevant subjects.,Five (5) 'O' Level credit passes including English Language.,Any three (3) subjects.
TEACHER EDUCATION SCIENCE:,"SHEHU SHAGARI COLLEGE OF EDUCATION, SOKOTO STATE (AFFL TO UDU, SOKOTO)",SHAGARI-2,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
